Date,Close,High,Low,Open,Volume,year,month,day,lag_1,lag_2,lag_3,price_change,ma_7,ma_14,std_7
2021-08-06,950.5429077148438,976.8880893431024,945.8562535112904,969.1528622918456,16620987,2021.0,8.0,6.0,971.1094360351562,957.2315673828124,949.9513549804688,-20.5665283203125,947.455304827009,947.861554827009,14.841006296451884
2021-08-09,945.1282348632812,950.8841763192498,940.282351981684,946.8800509816786,7494143,2021.0,8.0,9.0,950.5429077148438,971.1094360351562,957.2315673828124,-5.4146728515625,949.0088500976562,947.1530325753348,13.758413940749751
2021-08-10,950.0878295898438,961.4404233933778,943.581178728171,947.3350273362742,11919198,2021.0,8.0,10.0,945.1282348632812,950.5429077148438,971.1094360351562,4.9595947265625,952.4376831054688,946.9661560058594,9.391241730197338
2021-08-11,963.39697265625,964.6254885296094,947.9720727670094,954.1374592617028,9184963,2021.0,8.0,11.0,950.0878295898438,945.1282348632812,950.5429077148438,13.30914306640625,955.3497576032366,946.8556562151227,9.138584068862226
2021-08-12,960.3029174804688,967.4466034758628,957.800331624984,966.8550623942888,8137612,2021.0,8.0,12.0,963.39697265625,950.0878295898438,945.1282348632812,-3.09405517578125,956.8285522460938,947.0116620744977,8.955124412160968
2021-08-13,976.2965087890624,978.2303606065248,959.5975996548036,963.3969420853272,12780901,2021.0,8.0,13.0,960.3029174804688,963.39697265625,950.0878295898438,15.993591308593636,959.5521153041294,949.2477155412946,11.60517025628734
2021-08-16,988.9686279296876,1002.3914951366928,968.3338340297282,977.980105672493,21935444,2021.0,8.0,16.0,976.2965087890624,960.3029174804688,963.39697265625,12.672119140625227,962.1034284319196,953.0990687779018,15.781186171630944
2021-08-17,984.7598266601562,994.2923038234344,977.297622981309,986.8529072733436,12658169,2021.0,8.0,17.0,988.9686279296876,976.2965087890624,960.3029174804688,-4.208801269531364,966.9915597098214,957.2234322684152,16.865571299734345
2021-08-18,988.5819091796876,995.020319457164,979.4589373887336,989.1961972236584,10075860,2021.0,8.0,18.0,984.7598266601562,988.9686279296876,976.2965087890624,3.8220825195313637,973.1992274693081,961.1040387834821,15.411452534824798
2021-08-20,977.4796142578124,988.2861007519195,972.3607078932538,975.09076320503,9426282,2021.0,8.0,20.0,988.5819091796876,984.7598266601562,988.9686279296876,-11.102294921875227,977.1123395647321,964.7750113351004,11.561971361722543
2021-08-23,983.895263671875,989.1961455676026,970.2221199980744,989.1961455676026,9854395,2021.0,8.0,23.0,977.4796142578124,988.5819091796876,984.7598266601562,6.415649414062614,980.0406668526786,967.6952122279575,9.999551287327822
2021-08-24,993.6098022460938,997.3863978639248,980.8239096504692,985.123805492856,11864472,2021.0,8.0,24.0,983.895263671875,977.4796142578124,988.5819091796876,9.71453857421875,984.7987932477679,970.8136727469308,6.271768400147467
2021-08-25,1002.2095336914062,1010.1267969703356,991.9717803975888,994.383378575713,13380559,2021.0,8.0,25.0,993.6098022460938,983.895263671875,977.4796142578124,8.5997314453125,988.5006539481027,974.026384626116,7.862666070919583
2021-08-26,1014.8815307617188,1021.4564824929126,1003.3014677332652,1004.666525440298,18589616,2021.0,8.0,26.0,1002.2095336914062,993.6098022460938,983.895263671875,12.6719970703125,992.2024972098214,977.1529628208706,12.719638775820583
2021-08-27,1013.4937133789062,1020.4782304762028,1008.3293734966592,1017.8618498448702,10480636,2021.0,8.0,27.0,1014.8815307617188,1002.2095336914062,993.6098022460938,-1.3878173828125,996.3073381696429,981.6494489397321,14.437854003936977
2021-08-30,1032.9910888671875,1035.539228921763,1017.7709708130756,1023.7771290070832,14027062,2021.0,8.0,30.0,1013.4937133789062,1014.8815307617188,1002.2095336914062,19.49737548828125,1002.6515066964286,987.9253670828683,19.38636016000658
2021-08-31,1027.4854736328125,1039.1337183154053,1020.2507393885752,1036.016904489164,26485463,2021.0,8.0,31.0,1032.9910888671875,1013.4937133789062,1014.8815307617188,-5.505615234375,1009.7952008928571,993.4537702287946,17.705276703911686
2021-09-01,1031.557861328125,1043.2972151004208,1029.6923704170056,1034.2424832806043,11145486,2021.0,9.0,1.0,1027.4854736328125,1032.9910888671875,1013.4937133789062,4.0723876953125,1016.6041434151786,998.3224051339286,15.050668269972148
2021-09-02,1043.9796142578125,1050.0767599227504,1026.052128476792,1026.052128476792,9956770,2021.0,9.0,2.0,1031.557861328125,1027.4854736328125,1032.9910888671875,12.4217529296875,1023.7998308454241,1004.299312046596,14.244103734151125
2021-09-03,1086.7962646484375,1089.753849755498,1047.6652497127798,1051.0777738490865,30664428,2021.0,9.0,3.0,1043.9796142578125,1031.557861328125,1027.4854736328125,42.816650390625,1035.8836495535713,1012.1921517508371,24.824873164612498
2021-09-06,1103.67724609375,1128.4299004209945,1097.4889922462603,1097.944051619568,33641710,2021.0,9.0,6.0,1086.7962646484375,1043.9796142578125,1031.557861328125,16.8809814453125,1048.5687517438616,1020.3856244768415,33.48170142255129
2021-09-07,1110.638916015625,1118.4195769224002,1097.4890117544835,1105.6792381399396,17349882,2021.0,9.0,7.0,1103.67724609375,1086.7962646484375,1043.9796142578125,6.961669921875,1062.4466378348213,1029.376988002232,36.5158022889593
2021-09-08,1106.29345703125,1116.5995103115172,1095.054658449374,1115.689511959844,14301651,2021.0,9.0,8.0,1110.638916015625,1103.67724609375,1086.7962646484375,-4.345458984375,1072.9184047154017,1037.784955705915,37.165691567827295
2021-09-09,1103.67724609375,1109.2510915570197,1099.35460328716,1104.7237261918483,8963249,2021.0,9.0,9.0,1106.29345703125,1110.638916015625,1103.67724609375,-2.6162109375,1083.802943638393,1046.799072265625,32.50736983492997
2021-09-13,1079.0838623046875,1107.0443192185294,1077.4913349676583,1107.0443192185294,16311160,2021.0,9.0,13.0,1103.67724609375,1106.29345703125,1110.638916015625,-24.5933837890625,1090.5923723493304,1053.5982578822545,23.489079976982943
2021-09-14,1077.67333984375,1089.2988378614205,1076.5584984650136,1080.6536720322044,8908356,2021.0,9.0,14.0,1079.0838623046875,1103.67724609375,1106.29345703125,-1.4105224609375,1095.40576171875,1059.602796282087,13.798504945711633
2021-09-15,1082.155029296875,1090.0949179081745,1077.695905241629,1077.695905241629,9071075,2021.0,9.0,15.0,1077.67333984375,1079.0838623046875,1103.67724609375,4.481689453125,1094.7427280970983,1065.313188825335,14.380389466499732
2021-09-16,1104.860107421875,1108.750437452325,1077.013388880378,1083.6338341939222,13448882,2021.0,9.0,16.0,1082.155029296875,1077.67333984375,1079.0838623046875,22.705078125,1094.9117082868304,1071.740230015346,14.509246934780197
2021-09-17,1087.72900390625,1117.441336518829,1080.9265822690463,1112.9594649804742,34882133,2021.0,9.0,17.0,1104.860107421875,1082.155029296875,1077.67333984375,-17.131103515625,1091.6388636997767,1077.0427507672991,12.86063164029209
2021-09-20,1089.4580078125,1100.3782281549334,1078.3784384748346,1079.3339306750968,11779819,2021.0,9.0,20.0,1087.72900390625,1104.860107421875,1082.155029296875,1.72900390625,1089.2337995256696,1081.0761021205358,11.119680511319347
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736,2021.0,9.0,21.0,1089.4580078125,1087.72900390625,1104.860107421875,4.7093505859375,1087.875244140625,1085.8390938895088,9.52794935343148
2021-09-22,1105.90673828125,1111.1392587944545,1091.2325487612284,1095.6689260415033,10995912,2021.0,9.0,22.0,1094.1673583984375,1089.4580078125,1087.72900390625,11.7393798828125,1091.7070835658483,1091.1497279575892,10.721911723060416
2021-09-23,1132.934326171875,1136.1648740748446,1112.731787596337,1113.5962919397923,15748397,2021.0,9.0,23.0,1105.90673828125,1094.1673583984375,1089.4580078125,27.027587890625,1099.6015101841517,1097.5036359514509,17.108682564703745
2021-09-24,1129.658203125,1140.0097493661465,1124.7896341549288,1139.145244992765,15192163,2021.0,9.0,24.0,1132.934326171875,1105.90673828125,1094.1673583984375,-3.276123046875,1106.3876778738838,1100.5652029854912,18.40698556887634
2021-09-27,1148.655029296875,1151.134928281977,1126.2912870102596,1131.6149158288963,15373834,2021.0,9.0,27.0,1129.658203125,1132.934326171875,1105.90673828125,18.996826171875,1112.6440952845983,1103.7779017857142,24.300544985336074
2021-09-28,1159.3935546875,1167.0604814914102,1143.3543048189429,1153.000577622525,18035258,2021.0,9.0,28.0,1148.655029296875,1129.658203125,1132.934326171875,10.738525390625,1122.8818882533483,1107.2603759765625,27.000500802396324
2021-09-29,1150.2021484375,1169.38083570803,1146.653022546889,1169.38083570803,9719875,2021.0,9.0,29.0,1159.3935546875,1148.655029296875,1129.658203125,-9.19140625,1131.5596226283483,1110.3967110770088,24.070319126486552
2021-09-30,1146.2889404296875,1153.273457399079,1137.6892697076169,1148.9053210131074,13590654,2021.0,9.0,30.0,1150.2021484375,1159.3935546875,1148.655029296875,-3.9132080078125,1139.0055629185267,1113.4404035295759,17.827688054093727
2021-10-01,1148.3138427734375,1155.6395643825465,1135.2550471541776,1138.417354693103,8958928,2021.0,10.0,1.0,1146.2889404296875,1150.2021484375,1159.3935546875,2.02490234375,1145.063720703125,1118.3854021344866,10.337324923232977
2021-10-04,1163.0789794921875,1171.587662580675,1154.38820045178,1161.645680951927,10918552,2021.0,10.0,4.0,1148.3138427734375,1146.2889404296875,1150.2021484375,14.76513671875,1149.3700997488838,1124.485804966518,10.714279829219102
2021-10-05,1187.2174072265625,1188.4914771861918,1159.0748554855732,1162.6012346483487,13533634,2021.0,10.0,5.0,1163.0789794921875,1148.3138427734375,1146.2889404296875,24.138427734375,1157.5928431919642,1131.9902605329241,14.487580889834934
2021-10-06,1164.7625732421875,1192.1087413964174,1160.78125500237,1192.1087413964174,10258881,2021.0,10.0,6.0,1187.2174072265625,1163.0789794921875,1148.3138427734375,-22.454833984375,1159.8939208984375,1136.269008091518,14.105529658779709
